# GlassGlobe countries, Natural Earth 1:110m admin_0 (public domain)
Fiji	-17.83,177.98	-16.07,180.00 -16.56,180.00 -16.80,179.36 -17.01,178.73 -16.64,178.60 -16.43,179.10 -16.38,179.41
Fiji	-17.83,177.98	-17.50,178.13 -17.34,178.37 -17.63,178.72 -18.15,178.55 -18.29,177.93 -18.16,177.38 -17.72,177.29 -17.38,177.67
Fiji	-17.83,177.98	-16.02,-179.79 -16.50,-179.92 -16.56,-180.00 -16.07,-180.00
Tanzania	-6.05,34.96	-0.95,33.90 -1.06,34.07 -3.10,37.70 -3.68,37.77 -4.68,39.20 -5.91,38.74 -6.48,38.80 -6.84,39.44 -7.10,39.47 -7.70,39.19 -8.01,39.25 -8.49,39.19 -9.11,39.54 -10.10,39.95 -10.32,40.32 -10.32,40.32 -10.90,39.52 -11.29,38.43 -11.27,37.83 -11.57,37.47 -11.59,36.78 -11.72,36.51 -11.44,35.31 -11.52,34.56 -10.16,34.28 -9.69,33.94 -9.42,33.74 -9.23,32.76 -8.93,32.19 -8.76,31.56 -8.59,31.16 -8.34,30.74 -8.34,30.74 -7.08,30.20 -6.52,29.62 -5.94,29.42 -5.42,29.52 -4.50,29.34 -4.45,29.75 -4.09,30.12 -3.57,30.51 -3.36,30.75 -3.03,30.74 -2.81,30.53 -2.41,30.47 -2.41,30.47 -2.29,30.76 -1.70,30.82 -1.13,30.42 -1.01,30.77 -1.03,31.87
W. Sahara	23.97,-12.63	27.66,-8.67 27.59,-8.67 27.40,-8.68 25.88,-8.69 25.93,-11.97 23.37,-11.94 23.28,-12.87 22.77,-13.12 21.33,-12.93 21.33,-16.85 21.00,-17.06 21.42,-17.02 21.42,-17.00 21.50,-14.75 21.86,-14.63 22.31,-14.22 23.69,-13.89 24.77,-12.50 26.03,-12.03 26.10,-11.72 26.88,-11.39 26.99,-10.55 26.86,-10.19 26.86,-9.74 27.09,-9.41 27.12,-8.79 27.66,-8.82
Canada	60.32,-101.91	49.00,-122.84 49.00,-122.97 49.98,-124.91 50.42,-125.62 50.83,-127.44 51.72,-127.99 52.33,-127.85 52.76,-129.13 53.56,-129.31 54.29,-130.51 54.80,-130.54 54.80,-130.54 55.28,-129.98 55.92,-130.01 56.55,-131.71 57.69,-132.73 58.41,-133.36 58.86,-134.27 59.27,-134.94 59.79,-135.48 59.46,-136.48 58.91,-137.45 59.56,-138.34 60.00,-139.04 60.28,-140.01 60.31,-141.00 66.00,-140.99 69.71,-140.99 69.71,-140.99 69.47,-139.12 68.99,-137.55 68.90,-136.50 69.32,-135.63 69.63,-134.41 69.51,-132.93 69.94,-131.43 70.19,-129.79 69.78,-129.11 70.01,-128.36 70.48,-128.14 70.38,-127.45 69.48,-125.76 70.16,-124.42 69.40,-124.29 69.56,-123.06 69.86,-122.68 69.80,-121.47 69.38,-119.94 69.01,-117.60 68.84,-116.23 68.91,-115.25 68.40,-113.90 67.90,-115.30 67.69,-113.50 67.81,-110.80 67.98,-109.95 67.38,-108.88 67.89,-107.79 68.31,-108.81 68.65,-108.17 68.70,-106.95 68.80,-106.15 68.56,-105.34 68.02,-104.34 68.10,-103.22 67.65,-101.45 67.81,-99.90 67.78,-98.44 68.40,-98.56 68.58,-97.67 68.24,-96.12 67.29,-96.13 68.09,-95.49 68.06,-94.69 69.07,-94.23 69.69,-95.30 70.09,-96.47 71.19,-96.39 71.92,-95.21 71.76,-93.89 71.32,-92.88 70.19,-91.52 69.70,-92.41 69.50,-90.55 68.47,-90.55 69.26,-89.22 68.62,-88.02 67.87,-88.32 67.20,-87.35 67.92,-86.31 68.78,-85.58 69.88,-85.52 69.81,-84.10 69.66,-82.62 69.16,-81.28 68.67,-81.22 68.13,-81.96 67.60,-81.26 67.11,-81.39 66.41,-83.34 66.26,-84.74 66.56,-85.77 66.06,-86.07 65.21,-87.03 64.78,-87.32 64.10,-88.48 64.03,-89.91 63.61,-90.70 62.96,-90.77 62.84,-91.93 62.02,-93.16 60.90,-94.24 60.11,-94.63 58.95,-94.68 58.78,-93.22 57.85,-92.76 57.09,-92.30 57.28,-90.90 56.85,-89.04 56.47,-88.04 56.00,-87.32 55.72,-86.07 55.30,-85.01 55.24,-83.36 55.15,-82.27 54.28,-82.44 53.28,-82.13 52.16,-81.40 51.21,-79.91 51.53,-79.14 52.56,-78.60 54.14,-79.12 54.67,-79.83 55.14,-78.23 55.84,-77.10 56.53,-76.54 57.20,-76.62 58.05,-77.30 58.80,-78.52 59.85,-77.34 60.76,-77.77 62.32,-78.11 62.55,-77.41 62.28,-75.70 62.18,-74.67 62.44,-73.84 62.11,-72.91 61.53,-71.68 61.14,-71.37 61.06,-69.59 60.22,-69.62 58.96,-69.29 58.80,-68.37 58.21,-67.65 58.77,-66.20 59.87,-65.25 60.34,-64.58 59.44,-63.80 58.17,-62.50 56.97,-61.40 56.34,-61.80 55.78,-60.47 55.20,-59.57 54.95,-57.98 54.63,-57.33 53.78,-56.94 53.65,-56.16 53.27,-55.76 52.15,-55.68 51.77,-56.41 51.42,-57.13 51.06,-58.77 50.24,-60.03 50.08,-61.72 50.29,-63.86 50.30,-65.36 50.23,-66.40 49.51,-67.24 49.07,-68.51 47.74,-69.95 46.82,-71.10 46.99,-70.26 48.30,-68.65 49.13,-66.55 49.23,-65.06 48.74,-64.17 48.07,-65.12 46.99,-64.80 46.24,-64.47 45.74,-63.17 45.88,-61.52 47.01,-60.52 46.28,-60.45 45.92,-59.80 45.27,-61.04 44.67,-63.25 44.27,-64.25 43.55,-65.36 43.62,-66.12 44.47,-66.16 45.29,-64.43 45.26,-66.03 45.14,-67.14 45.70,-67.79 47.07,-67.79 47.35,-68.23 47.19,-68.91 47.45,-69.24 46.69,-70.00 45.91,-70.31 45.46,-70.66 45.31,-71.08 45.26,-71.41 45.01,-71.51 45.01,-73.35 45.00,-74.87 44.82,-75.32 44.10,-76.38 44.02,-76.50 43.63,-76.82 43.63,-77.74 43.63,-78.72 43.47,-79.17 43.27,-79.01 42.97,-78.92 42.86,-78.94 42.37,-80.25 42.21,-81.28 41.68,-82.44 41.68,-82.69 41.83,-83.03 41.98,-83.14 42.08,-83.12 42.43,-82.90 42.98,-82.43 43.57,-82.14 44.44,-82.34 45.35,-82.55 45.82,-83.59 45.99,-83.47 46.12,-83.62 46.12,-83.89 46.28,-84.09 46.51,-84.14 46.41,-84.34 46.44,-84.60 46.54,-84.54 46.64,-84.78 46.90,-84.88 47.22,-85.65 47.55,-86.46 47.94,-87.44 48.30,-88.38 48.02,-89.27 48.01,-89.60 48.27,-90.83 48.14,-91.64 48.45,-92.61 48.61,-93.63 48.67,-94.33 48.84,-94.64 49.39,-94.82 49.38,-95.16 49.00,-95.16 49.00,-97.23 49.00,-100.65 49.00,-104.05 49.00,-107.05 49.00,-110.05 49.00,-113.00 49.00,-116.05 49.00,-117.03 49.00,-120.00
Canada	60.32,-101.91	62.45,-83.99 62.91,-83.25 62.90,-81.88 62.71,-81.90 62.16,-83.07 62.18,-83.77
Canada	60.32,-101.91	72.80,-79.78 73.33,-80.88 73.69,-80.83 73.76,-80.35 73.65,-78.06 73.10,-76.34 72.83,-76.25 72.86,-77.31 72.88,-78.39 72.74,-79.49
Canada	60.32,-101.91	62.09,-80.32 62.39,-79.93 62.36,-79.52 62.16,-79.27 61.63,-79.66 61.72,-80.10 62.02,-80.36
Canada	60.32,-101.91	74.98,-93.61 74.59,-94.16 74.67,-95.61 74.93,-96.82 75.38,-96.29 75.65,-94.85 75.30,-93.98
